sampleID,sampleshortID,mouse_number,mouse_birthdate,sex,exposure_type,timepoint,FullCategory,sort_plate,sort_date,rt_date,library_date
230126_001,1,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_002,2,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_003,3,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_004,4,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_005,5,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_006,6,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_007,7,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_008,8,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_009,9,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_010,10,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_011,11,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_012,12,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_013,13,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_014,14,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_015,15,1d_4,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,36,7/22/2022,10/7/2022,1/12/2023
230126_016,16,1d_5,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,35,7/22/2022,11/21/2022,1/12/2023
230126_017,17,1d_5,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,35,7/22/2022,11/21/2022,1/12/2023
230126_018,18,1d_5,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,35,7/22/2022,11/21/2022,1/12/2023
230126_019,19,1d_5,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,35,7/22/2022,11/21/2022,1/12/2023
230126_020,20,1d_5,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,35,7/22/2022,11/21/2022,1/12/2023
230126_021,21,1d_5,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,35,7/22/2022,11/21/2022,1/12/2023
230126_022,22,1d_5,4/26/2022,M,reexposed,1d,GFPNegFOSNeg,35,7/22/2022,11/21/2022,1/12/2023
