sampleID,sampleshortID,source,GFPcategory,FOScategory,FullCategory,FOSraw,GFPraw,PROX1Raw,CTIP2Raw,mouse_number,mouse_birthdate,sex,exposure_type,timepoint,sort_plate,sort_date,library_date
260310_001,1,"plate 9, D1",Neg,Pos,GFPNegFOSPos,1064.985635,2392.799173,9017.333353,760.0801224,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_002,2,"plate 9, B1",Neg,Neg,GFPNegFOSNeg,58.55690645,1303.870246,4391.148507,453.1583638,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_003,3,"plate 9, C1",Neg,Neg,GFPNegFOSNeg,102.7350768,1868.462453,10794.51477,813.1230081,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_004,4,"plate 7, D1",Neg,Pos,GFPNegFOSPos,1560.843553,3064.277731,8058.421878,679.252507,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_005,5,"plate 7, E1",Neg,Pos,GFPNegFOSPos,850.5258154,2502.865431,7532.742557,593.5229272,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_006,6,"plate 7, F1",Pos,Pos,GFPPosFOSPos,743.1795488,15468.67536,9646.616199,567.4221043,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_007,7,"plate 7, G1",Neg,Pos,GFPNegFOSPos,474.0031742,3205.231299,9432.12125,760.0801224,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_008,8,"plate 7, H1",Pos,Pos,GFPPosFOSPos,1113.97386,12079.00747,7704.04392,474.0031742,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_009,9,"plate 9, D7",Neg,Pos,GFPNegFOSPos,1426.582444,2559.78285,12079.00747,850.5258154,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_010,10,"plate 9, E7",Neg,Pos,GFPNegFOSPos,1363.846913,1394.862022,8241.677663,530.4071563,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_011,11,"plate 9, K1",Neg,Neg,GFPNegFOSNeg,91.81013479,2800.693768,4697.588817,484.7824342,ConSingleNEM7,6/2/2025,M,singleNE,3d,H3209Z16,11/3/2025,3/10/2026
260310_012,12,"plate 9, L1",Neg,Neg,GFPNegFOSNeg,109.904538,3428.911294,11291.05115,889.6491128,ConSingleNEM7,6/2/2025,M,singleNE,3d,H3209Z16,11/3/2025,3/10/2026
260310_013,13,"plate 7, M1",Pos,Neg,GFPPosFOSNeg,150.5685871,8058.421878,7532.742557,694.699322,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_014,14,"plate 7, N1",Pos,Neg,GFPPosFOSNeg,58.55690645,9222.395651,6582.022689,443.082273,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_015,15,"plate 7, O1",Pos,Neg,GFPPosFOSNeg,176.2356441,9432.12125,13516.34832,2392.799173,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_016,16,"plate 7, P1",Pos,Neg,GFPPosFOSNeg,137.6169331,7704.04392,8241.677663,973.3773809,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_017,17,"plate 9, D2",Neg,Pos,GFPNegFOSPos,607.0201742,2138.346721,8241.677663,554.8053304,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_018,18,"plate 9, B2",Neg,Neg,GFPNegFOSNeg,80.22262618,1998.854812,8620.78621,889.6491128,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_019,19,"plate 9, C2",Neg,Neg,GFPNegFOSNeg,102.7350768,2186.974655,5256.578144,530.4071563,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_020,20,"plate 7, D2",Neg,Pos,GFPNegFOSPos,995.5128609,2186.974655,6435.669751,433.2302267,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_021,21,"plate 7, E2",Neg,Pos,GFPNegFOSPos,795.0430125,1998.854812,10319.81412,995.5128609,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_022,22,"plate 7, F2",Pos,Neg,GFPPosFOSNeg,73.32201221,10090.35045,5256.578144,433.2302267,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_023,23,"plate 7, G2",Neg,Pos,GFPNegFOSPos,1041.305411,2677.530182,6884.788844,507.0819188,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_024,24,"plate 7, H2",Pos,Neg,GFPPosFOSNeg,73.32201221,12079.00747,7704.04392,554.8053304,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_025,25,"plate 9, D8",Neg,Pos,GFPNegFOSPos,973.3773809,2559.78285,8241.677663,495.8068242,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_026,26,"plate 9, E8",Neg,Pos,GFPNegFOSPos,2392.799173,2677.530182,12634.62918,1041.305411,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_027,27,"plate 9, K2",Neg,Neg,GFPNegFOSNeg,89.76871324,3506.887831,12079.00747,909.8805365,ConSingleNEM7,6/2/2025,M,singleNE,3d,H3209Z16,11/3/2025,3/10/2026
260310_028,28,"plate 9, L2",Neg,Neg,GFPNegFOSNeg,59.88854335,2090.800041,6292.571008,554.8053304,ConSingleNEM7,6/2/2025,M,singleNE,3d,H3209Z16,11/3/2025,3/10/2026
260310_029,29,"plate 7, M2",Pos,Neg,GFPPosFOSNeg,143.947168,10319.81412,15468.67536,2677.530182,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_030,30,"plate 7, N2",Pos,Neg,GFPPosFOSNeg,153.9926526,9222.395651,11291.05115,995.5128609,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_031,31,"plate 7, O2",Pos,Pos,GFPPosFOSPos,423.5972432,7532.742557,4913.672986,507.0819188,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_032,32,"plate 7, P2",Pos,Neg,GFPPosFOSNeg,65.52488237,12079.00747,7704.04392,484.7824342,ConSingleNEM5,6/2/2025,M,singleNE,3d,H3209Z1B,11/3/2025,3/10/2026
260310_033,33,"plate 9, D3",Neg,Pos,GFPNegFOSPos,777.3650302,1596.338544,5139.696801,353.8572719,ConSameM4,6/5/2025,M,reexposed_same,3d,H3209Z16,11/3/2025,3/10/2026
260310_034,34,"plate 7, B3",Neg,Neg,GFPNegFOSNeg,59.88854335,2502.865431,10554.49601,973.3773809,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_035,35,"plate 7, C3",Neg,Neg,GFPNegFOSNeg,68.53895839,2236.708432,7532.742557,869.86754,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_036,36,"plate 7, D3",Neg,Pos,GFPNegFOSPos,1459.024216,2339.594679,12634.62918,973.3773809,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_037,37,"plate 7, E3",Neg,Pos,GFPNegFOSPos,1089.20437,2447.213586,6152.654101,507.0819188,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_038,38,"plate 7, F3",Pos,Neg,GFPPosFOSNeg,52.32991147,11291.05115,5256.578144,518.6134192,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
260310_039,39,"plate 7, G3",Neg,Pos,GFPNegFOSPos,2287.5732,3352.668585,13823.72227,1089.20437,ConSameM1,6/5/2025,M,reexposed_same,3d,H3209Z1B,11/3/2025,3/10/2026
