,geo_accession,sampleID,age,Arc,Ctip2,Fos,Prox1,gender,exposure,cell.type,strain
X151207_A1_N_C_N_HC_3,GSM2609369,X151207_A1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A10_N_C_F_EE_2,GSM2609370,X151207_A10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,Sub,C57BL6
X151207_A11_N_C_F_EE_2,GSM2609371,X151207_A11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_A12_N_C_F_EE_2,GSM2609372,X151207_A12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_A2_N_C_N_HC_3,GSM2609373,X151207_A2_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A3_N_C_N_HC_3,GSM2609374,X151207_A3_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A4_N_C_N_HC_3,GSM2609375,X151207_A4_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_A6_N_C_N_EE_2,GSM2609376,X151207_A6_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_A7_N_C_N_EE_2,GSM2609377,X151207_A7_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_A8_N_C_N_EE_2,GSM2609378,X151207_A8_N_C_N_EE_2,8.7,No,Yes,No,No,Female,1hr,CA1,C57BL6
X151207_A9_N_C_F_EE_2,GSM2609379,X151207_A9_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_B1_N_C_N_HC_3,GSM2609380,X151207_B1_N_C_N_HC_3,8.7,No,Yes,No,No,Female,HC,CA1,C57BL6
X151207_B10_N_C_F_EE_2,GSM2609381,X151207_B10_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
X151207_B11_N_C_F_EE_2,GSM2609382,X151207_B11_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,Sub,C57BL6
X151207_B12_N_C_F_EE_2,GSM2609383,X151207_B12_N_C_F_EE_2,8.7,No,Yes,Yes,No,Female,1hr,CA1,C57BL6
