ensembl_gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Lrrc17,448.8056289,8.519269524,0.608912746,-13.99095286,1.77E-44,1.98E-41
Mir7026,20.41869843,7.733490309,1.28469826,-6.019693922,1.75E-09,5.91E-08
Mir6982,274.2089869,7.633813719,0.558231124,-13.67500555,1.43E-42,1.34E-39
Mir6999,30.71586781,7.358194126,1.256474199,-5.856223812,4.74E-09,1.50E-07
Oaz1,14.25685498,7.225103992,1.500911861,-4.813809645,1.48E-06,2.89E-05
Mir7028,19.24836627,6.664588717,1.314545536,-5.069880453,3.98E-07,8.78E-06
Mir6942,9.691331366,6.653127649,1.391998466,-4.779550992,1.76E-06,3.37E-05
Mir344g,26.33298039,6.226526234,1.136126206,-5.480488172,4.24E-08,1.11E-06
Mir6236,18670.88226,6.146198286,0.244114881,-25.17748311,7.07E-140,1.19E-135
Rpl14-ps1,13.29310988,6.145352907,1.663161124,-3.694983498,0.000219901,0.002305326
Sult1c2,12.09251823,5.987973926,1.503042854,-3.983900999,6.78E-05,0.000838927
Zscan10,11.78786383,5.939173972,1.499882603,-3.959759223,7.50E-05,0.000917614
Aspa,5.783789531,5.909907002,1.742272104,-3.39206889,0.00069367,0.006058796
Cdc42ep1,10.84521386,5.829206982,1.359882253,-4.286552729,1.81E-05,0.00026657
Gm1821,176.2960042,5.800383231,0.545013486,-10.64264165,1.89E-26,4.53E-24
Mir16-1,5.228049982,5.751391383,1.776054254,-3.238297124,0.001202455,0.00960421
Atp6v0c,9.842537667,5.710345776,1.407307705,-4.057638395,4.96E-05,0.000642288
Mir7087,8.898364065,5.527233028,1.496004049,-3.694664486,0.000220177,0.002305346
Neu4,4.246299295,5.457999151,1.645356146,-3.317214431,0.000909198,0.007556416
1700071M16Rik,8.381107661,5.457256289,1.407558304,-3.877108517,0.000105705,0.001233595
Mir6898,4.205990989,5.452587064,1.626339711,-3.352674123,0.000800349,0.006837754
Mir7052,8.184431788,5.427279849,1.458050543,-3.722285127,0.000197428,0.00209853
Mir6928,14.72867812,5.402254605,1.267938147,-4.260660994,2.04E-05,0.000294518
Cldn2,7.918853742,5.387843517,1.549253294,-3.477703444,0.000505729,0.004616392
Snord58b,46.99711104,5.266101984,0.64931844,-8.110199344,5.05E-16,4.59E-14
Mir6941,13.80218888,5.265559146,1.213731665,-4.338322296,1.44E-05,0.000217367
Mir6948,12.45743325,5.1011304,1.205353722,-4.232060934,2.32E-05,0.000328662
Fcrls,6.547227053,5.071429965,1.519587526,-3.337372726,0.000845744,0.007149263
Mir7080,28.27667937,4.999255149,0.912967987,-5.475827433,4.35E-08,1.13E-06
Mir5129,10.23340205,4.874924403,1.34120158,-3.634744005,0.000278257,0.002787334
Mir7067,10.26382107,4.865231248,1.500042119,-3.243396425,0.001181137,0.009465434
Gsta3,663.8303564,4.835159041,0.219201297,-22.0580768,7.99E-108,6.71E-104
Eno1,14.75957805,4.816984938,1.039016743,-4.636099439,3.55E-06,6.33E-05
Bc1,2584.431051,4.804466356,0.227723294,-21.09782568,8.33E-99,4.66E-95
Mir6902,14.31484881,4.737766746,1.033068141,-4.586112532,4.52E-06,7.82E-05
Trpv4,27.80462378,4.688648019,0.732008042,-6.405186489,1.50E-10,6.10E-09
2010016I18Rik,8.694212623,4.621689661,1.299759268,-3.55580435,0.000376824,0.00360552
B020014A21Rik,337.0640613,4.619083187,0.284079309,-16.25983673,1.90E-59,5.33E-56
Gm6150,17.1283052,4.520042473,0.946068254,-4.77771287,1.77E-06,3.39E-05
