Gene name,baseMean,log2FoldChange,lfcSE (standard error),Wald stat,P value,Adj. P value
Atf3,425.4603889,9.389240116,0.697154207,13.46795304,2.41E-41,2.50E-37
Blnk,260.1593142,8.492880539,0.753906881,11.26515854,1.95E-29,1.01E-25
Sorcs3,1183.925764,7.411638157,0.690749753,10.72984554,7.37E-27,2.55E-23
Pappa,125.7494865,6.492490456,0.695714011,9.332125494,1.04E-20,2.69E-17
Arc,3356.827486,6.790121865,0.754518027,8.999283816,2.27E-19,4.71E-16
Lphn3,794.9679255,4.42934399,0.493486853,8.975606876,2.82E-19,4.87E-16
Sorcs1,111.5024455,7.778429639,0.878261918,8.856617232,8.25E-19,1.22E-15
Inhba,774.7292527,6.465464094,0.761034729,8.495622924,1.97E-17,2.55E-14
Acan,287.9734077,6.389578572,0.760839375,8.398065055,4.54E-17,5.23E-14
Sidt1,266.1810512,-5.002597727,0.61128888,-8.183688414,2.75E-16,2.85E-13
Plk2,2919.126589,2.539274334,0.312561041,8.124090993,4.51E-16,4.25E-13
Scg2,4051.831078,2.87573047,0.358970773,8.011043481,1.14E-15,9.82E-13
Penk,2010.125367,5.664470059,0.708312518,7.997133919,1.27E-15,1.02E-12
Cdkn1a,104.0524665,7.431622814,0.956335946,7.770933267,7.79E-15,5.77E-12
AI414108,180.2586563,5.642563801,0.728882371,7.741391512,9.83E-15,6.79E-12
Slc29a4,408.8480432,-4.952833005,0.642749141,-7.705701476,1.30E-14,8.43E-12
Bdnf,2268.778433,2.500193846,0.32507638,7.691096622,1.46E-14,8.89E-12
Megf6,106.0840719,7.45028462,0.971789958,7.666558562,1.77E-14,1.02E-11
Psmc4,2092.52575,2.208544393,0.296729975,7.442943344,9.85E-14,5.23E-11
Svil,167.0854413,6.298551845,0.846620649,7.439638814,1.01E-13,5.23E-11
Gpnmb,245.9688767,5.937858923,0.811793057,7.314498288,2.58E-13,1.27E-10
Mapk4,787.438865,4.505714736,0.619564618,7.272388712,3.53E-13,1.66E-10
