,x
1,X230126_001
2,X230126_002
3,X230126_003
4,X230126_004
5,X230126_005
6,X230126_006
7,X230126_007
8,X230126_008
9,X230126_009
10,X230126_010
11,X230126_011
12,X230126_012
13,X230126_013
14,X230126_014
15,X230126_015
16,X230126_016
17,X230126_017
18,X230126_018
19,X230126_019
20,X230126_020
21,X230126_021
22,X230126_022
23,X230126_023
24,X230126_024
25,X230126_025
26,X230126_026
27,X230126_030
28,X230126_031
29,X230126_032
30,X230126_033
31,X230126_034
32,X230126_035
33,X230126_036
34,X230126_037
35,X230126_038
36,X230126_039
37,X230126_041
38,X230126_043
39,X230126_044
40,X230126_045
41,X230126_046
42,X230126_048
43,X230126_049
44,X230126_050
45,X230126_052
46,X230126_054
47,X230126_055
48,X230126_057
49,X230126_058
50,X230126_059
51,X230126_060
52,X230126_061
53,X230126_063
54,X230126_064
55,X230126_065
56,X230126_066
57,X230126_067
58,X230126_068
59,X230126_069
60,X230126_070
61,X230126_071
62,X230126_072
63,X230126_073
64,X230126_074
65,X230126_075
66,X230126_076
67,X230126_077
68,X230126_078
69,X230126_079
70,X230126_080
71,X230126_081
72,X230126_082
73,X230126_083
74,X230126_084
75,X230126_085
76,X230126_086
77,X230126_087
78,X230126_088
79,X230126_089
80,X230126_090
81,X230126_091
82,X230126_092
83,X230126_093
84,X230126_094
85,X230126_095
86,X230126_096
87,X230126_097
88,X230126_098
89,X230126_099
90,X230126_101
91,X230126_102
92,X230126_103
93,X230126_104
94,X230126_105
95,X230126_106
96,X230126_108
97,X230126_109
98,X230126_110
99,X230126_111
100,X230126_112
101,X230126_113
102,X230126_114
103,X230126_115
104,X230126_116
105,X230126_117
106,X230126_118
107,X230126_119
108,X230126_120
109,X230126_121
110,X230126_122
111,X230126_123
112,X230126_124
113,X230126_125
114,X230126_126
115,X230126_127
116,X230126_128
117,X230126_129
118,X230126_130
119,X230126_131
120,X230126_133
121,X230126_134
122,X230126_135
123,X230126_137
124,X230126_138
125,X230126_139
126,X230126_140
127,X230126_141
128,X230126_142
129,X230126_143
130,X230126_144
131,X230126_146
132,X230126_147
133,X230126_148
134,X230126_149
135,X230126_150
136,X230126_151
137,X230126_152
138,X230126_153
139,X230126_154
140,X230126_155
141,X230126_156
142,X230126_157
143,X230126_158
144,X230126_159
145,X230126_160
146,X230126_161
147,X230126_162
148,X230126_163
149,X230126_164
150,X230126_165
151,X230126_166
152,X230126_167
153,X230126_168
154,X230126_169
155,X230126_170
156,X230126_171
157,X230126_172
158,X230126_173
159,X230126_174
160,X230126_175
161,X230126_176
162,X230126_177
163,X230126_178
164,X230126_179
165,X230126_180
166,X230126_181
167,X230126_182
168,X230126_183
169,X230126_184
170,X230126_185
171,X230126_186
172,X230126_187
173,X230126_188
174,X230126_189
175,X230126_190
176,X230126_191
177,X230126_192
178,X230126_193
179,X230126_194
180,X230126_195
181,X230126_196
182,X230126_197
183,X230126_198
184,X230126_199
185,X230126_200
186,X230126_201
187,X230126_202
188,X230126_203
189,X230126_204
190,X230126_205
191,X230126_206
192,X230126_207
193,X230126_208
194,X230126_209
195,X230126_210
196,X230126_211
197,X230126_212
198,X230126_213
199,X230126_214
200,X230126_215
201,X230126_217
202,X230126_219
203,X230126_220
204,X230126_221
205,X230126_222
206,X230126_223
207,X230126_225
208,X230126_226
209,X230126_227
210,X230126_228
211,X230126_229
212,X230126_230
213,X230126_231
214,X230126_232
215,X230126_233
216,X230126_234
217,X230126_235
218,X230126_236
219,X230126_237
220,X230126_238
221,X230126_239
222,X230126_240
223,X230126_241
224,X230126_242
225,X230126_243
226,X230126_244
227,X230126_245
228,X230126_246
229,X230126_247
230,X230126_248
231,X230126_249
232,X230126_250
233,X230126_251
234,X230126_252
235,X230126_253
236,X230126_254
237,X230126_255
238,X230126_256
239,X230126_257
240,X230126_258
241,X230126_259
242,X230126_260
243,X230126_261
244,X230126_262
245,X230126_263
246,X230126_265
247,X230126_266
248,X230126_267
249,X230126_268
250,X230126_269
251,X230126_270
252,X230126_271
253,X230126_272
254,X230126_273
255,X230126_274
256,X230126_275
257,X230126_276
258,X230126_277
259,X230126_278
260,X230126_279
261,X230126_280
262,X230126_281
263,X230126_282
264,X230126_283
265,X230126_284
266,X230126_285
267,X230126_286
268,X230126_287
269,X230126_288
270,X230126_289
271,X230126_290
272,X230126_291
273,X230126_292
274,X230126_293
275,X230126_294
276,X230126_295
277,X230126_296
278,X230126_297
279,X230126_298
280,X230126_299
281,X230126_301
282,X230126_302
283,X230126_303
284,X230126_305
285,X230126_306
286,X230126_307
287,X230126_308
288,X230126_309
289,X230126_310
290,X230126_311
291,X230126_312
292,X230126_313
293,X230126_314
294,X230126_315
295,X230126_316
296,X230126_317
297,X230126_318
298,X230126_319
299,X230126_320
300,X230126_321
301,X230126_322
302,X230126_324
303,X230126_325
304,X230126_326
305,X230126_327
306,X230126_328
307,X230126_329
308,X230126_330
309,X230126_331
310,X230126_332
311,X230126_333
312,X230126_334
313,X230126_335
314,X230126_336
315,X230126_337
316,X230126_338
317,X230126_339
318,X230126_340
319,X230126_341
320,X230126_342
321,X230126_343
322,X230126_344
323,X230126_345
324,X230126_346
325,X230126_347
326,X230126_348
327,X230126_349
328,X230126_350
329,X230126_351
330,X230126_352
331,X230126_353
332,X230126_354
333,X230126_355
334,X230126_356
335,X230126_358
336,X230126_359
337,X230126_360
338,X230126_361
339,X230126_362
340,X230126_363
341,X230126_364
342,X230126_365
343,X230126_366
344,X230126_367
345,X230126_369
346,X230126_370
347,X230126_371
348,X230126_372
349,X230126_373
350,X230126_374
351,X230126_375
352,X230126_376
353,X230126_377
354,X230126_378
355,X230126_379
356,X230126_380
357,X230126_381
358,X230126_382
359,X230126_383
360,X230126_384
361,X230126_419
362,X230126_421
363,X230126_422
364,X230126_423
365,X230126_424
366,X230126_425
367,X230126_426
368,X230126_427
369,X230126_428
370,X230126_429
371,X230126_430
372,X230126_431
373,X230126_432
374,X230126_433
375,X230126_434
376,X230126_435
377,X230126_436
378,X230126_437
379,X230126_438
380,X230126_439
381,X230126_440
382,X230126_441
383,X230126_442
384,X230126_443
385,X230126_444
386,X230126_445
387,X230126_446
388,X230126_487
389,X230126_488
390,X230126_489
391,X230126_490
392,X230126_491
393,X230126_492
394,X230126_493
395,X230126_494
396,X230126_495
397,X230126_496
398,X230126_497
399,X230126_498
400,X230126_499
401,X230126_500
402,X230126_501
403,X230126_502
404,X230126_503
405,X230126_504
406,X230126_505
407,X230126_506
408,X230126_507
409,X230126_508
410,X230126_509
411,X230126_510
412,X230126_511
413,X230126_512
414,X230126_513
415,X230126_514
416,X230126_515
417,X230126_517
418,X230126_518
419,X230126_569
420,X230126_570
421,X230126_571
422,X230126_572
423,X230126_573
424,X230126_574
425,X230126_575
426,X230126_576
427,X230126_577
428,X230126_578
429,X230126_579
430,X230126_580
431,X230126_581
432,X230126_582
433,X230126_583
434,X230126_584
435,X230126_585
436,X230126_586
437,X230126_587
438,X230126_588
439,X230126_589
440,X230126_590
441,X230126_591
442,X230126_592
443,X230126_594
444,X230126_595
445,X230126_596
446,X230126_597
447,X230126_598
448,X230126_599
449,X230126_600
450,X230126_601
451,X230126_602
452,X230126_604
453,X230126_605
454,X230126_607
455,X230126_608
456,X230126_609
457,X230126_610
458,X230126_611
459,X230126_612
460,X230126_653
461,X230126_654
462,X230126_655
463,X230126_656
464,X230126_657
465,X230126_658
466,X230126_659
467,X230126_661
468,X230126_662
469,X230126_663
470,X230126_664
471,X230126_665
472,X230126_666
473,X230126_667
474,X230126_668
475,X230126_669
476,X230126_670
477,X230126_671
478,X230126_672
479,X230126_673
480,X230126_674
481,X230126_737
482,X230126_738
483,X230126_739
484,X230126_740
485,X230126_741
486,X230126_742
487,X230126_743
488,X230126_744
489,X230126_745
490,X230126_746
491,X230126_747
492,X230126_748
493,X230126_749
494,X230126_750
495,X230126_751
496,X230126_752
497,X230126_753
498,X230126_754
499,X230126_755
500,X230126_756
501,X230126_757
502,X230126_758
503,X230126_759
504,X230126_760
505,X230126_761
506,X230126_762
507,X230126_763
508,X230126_765
509,X230126_766
510,X230126_767
511,X230126_768
512,X230126_769
513,X230126_771
514,X230126_772
515,X230126_773
516,X230126_774
517,X230126_775
518,X230126_776
519,X230126_777
520,X230126_778
521,X230126_779
522,X230126_780
523,X230126_781
524,X230126_782
525,X230126_783
526,X230126_784
527,X230126_785
528,X230126_786
529,X230126_787
530,X230126_788
531,X230126_789
532,X230126_790
533,X230126_791
534,X230126_831
535,X230126_832
536,X230126_833
537,X230126_834
538,X230126_835
539,X230126_836
540,X230126_838
541,X230126_839
542,X230126_840
543,X230126_842
544,X230126_843
545,X230126_844
546,X230126_845
547,X230126_846
548,X230126_847
549,X230126_848
550,X230126_850
551,X230126_851
552,X230126_852
553,X230126_853
554,X230126_854
555,X230126_855
556,X230126_856
557,X230126_857
558,X230126_858
559,X230126_859
560,X230126_860
561,X230126_861
562,X230126_862
563,X230126_925
564,X230126_926
565,X230126_927
566,X230126_928
567,X230126_929
568,X230126_930
569,X230126_931
570,X230126_932
571,X230126_933
572,X230126_934
573,X230126_935
574,X230126_936
575,X230126_937
576,X230126_938
577,X230126_939
578,X230126_940
579,X230126_941
580,X230126_942
581,X230126_943
582,X230126_944
583,X230126_987
584,X230126_988
585,X230126_989
586,X230126_990
587,X230126_991
588,X230126_992
589,X230126_993
590,X230126_994
591,X230126_995
592,X230126_997
593,X230126_998
594,X230126_999
595,X230126_1000
596,X230126_1001
597,X230126_1002
598,X230126_1003
599,X230126_1004
600,X230126_1005
601,X230126_1006
602,X230126_1007
603,X230126_1008
604,X230126_1009
605,X230126_1010
606,X230126_1011
607,X230126_1012
608,X230126_1059
609,X230126_1060
610,X230126_1062
611,X230126_1063
612,X230126_1064
613,X230126_1065
614,X230126_1066
615,X230126_1067
616,X230126_1068
617,X230126_1069
618,X230126_1070
619,X230126_1072
620,X230126_1073
621,X230126_1074
622,X230126_1076
623,X230126_1077
624,X230126_1078
625,X230126_1080
626,X230126_1081
627,X230126_1082
628,X230126_1083
629,X230126_1084
630,X230126_1085
631,X230126_1086
632,X230126_1087
633,X230126_1088
634,X230126_1089
635,X230126_1090
636,X230126_385
637,X230126_386
638,X230126_387
639,X230126_388
640,X230126_389
641,X230126_390
642,X230126_391
643,X230126_392
644,X230126_393
645,X230126_394
646,X230126_395
647,X230126_396
648,X230126_397
649,X230126_399
650,X230126_401
651,X230126_402
652,X230126_403
653,X230126_404
654,X230126_405
655,X230126_406
656,X230126_407
657,X230126_408
658,X230126_409
659,X230126_410
660,X230126_411
661,X230126_412
662,X230126_413
663,X230126_414
664,X230126_415
665,X230126_416
666,X230126_417
667,X230126_418
668,X230126_448
669,X230126_449
670,X230126_450
671,X230126_451
672,X230126_452
673,X230126_453
674,X230126_454
675,X230126_455
676,X230126_456
677,X230126_457
678,X230126_458
679,X230126_459
680,X230126_460
681,X230126_461
682,X230126_462
683,X230126_463
684,X230126_464
685,X230126_465
686,X230126_466
687,X230126_469
688,X230126_470
689,X230126_471
690,X230126_472
691,X230126_473
692,X230126_474
693,X230126_475
694,X230126_476
695,X230126_477
696,X230126_478
697,X230126_479
698,X230126_480
699,X230126_481
700,X230126_482
701,X230126_483
702,X230126_484
703,X230126_485
704,X230126_519
705,X230126_521
706,X230126_522
707,X230126_523
708,X230126_524
709,X230126_525
710,X230126_526
711,X230126_527
712,X230126_528
713,X230126_529
714,X230126_530
715,X230126_531
716,X230126_532
717,X230126_533
718,X230126_534
719,X230126_535
720,X230126_536
721,X230126_537
722,X230126_538
723,X230126_539
724,X230126_540
725,X230126_541
726,X230126_542
727,X230126_543
728,X230126_545
729,X230126_546
730,X230126_547
731,X230126_548
732,X230126_549
733,X230126_550
734,X230126_552
735,X230126_553
736,X230126_554
737,X230126_556
738,X230126_557
739,X230126_558
740,X230126_559
741,X230126_560
742,X230126_561
743,X230126_562
744,X230126_563
745,X230126_564
746,X230126_565
747,X230126_566
748,X230126_567
749,X230126_568
750,X230126_613
751,X230126_614
752,X230126_615
753,X230126_616
754,X230126_617
755,X230126_618
756,X230126_619
757,X230126_620
758,X230126_621
759,X230126_622
760,X230126_623
761,X230126_624
762,X230126_625
763,X230126_626
764,X230126_627
765,X230126_628
766,X230126_629
767,X230126_630
768,X230126_631
769,X230126_632
770,X230126_633
771,X230126_634
772,X230126_635
773,X230126_636
774,X230126_637
775,X230126_639
776,X230126_640
777,X230126_641
778,X230126_642
779,X230126_643
780,X230126_644
781,X230126_645
782,X230126_646
783,X230126_647
784,X230126_648
785,X230126_649
786,X230126_650
787,X230126_651
788,X230126_652
789,X230126_675
790,X230126_676
791,X230126_677
792,X230126_678
793,X230126_679
794,X230126_680
795,X230126_681
796,X230126_682
797,X230126_683
798,X230126_684
799,X230126_685
800,X230126_686
801,X230126_687
802,X230126_689
803,X230126_690
804,X230126_691
805,X230126_692
806,X230126_693
807,X230126_694
808,X230126_695
809,X230126_696
810,X230126_697
811,X230126_698
812,X230126_699
813,X230126_700
814,X230126_701
815,X230126_702
816,X230126_703
817,X230126_705
818,X230126_706
819,X230126_707
820,X230126_708
821,X230126_709
822,X230126_710
823,X230126_711
824,X230126_712
825,X230126_713
826,X230126_714
827,X230126_715
828,X230126_716
